iter	Passed	Remaining
0	4	4681
1	9	4893
2	15	5075
3	19	4886
4	35	6969
5	41	6825
6	88	12562
7	139	17318
8	143	15815
9	147	14567
10	149	13457
112	139	10582113	142	10010114	144	9501
15	147	9056
16	149	8661
116	169	9806
17	176	9612
18	178	9217
19	181	8876
20	183	8563
22	22	210	8923
23	214	8741
24	217	8481
25	219	8241
26	222	8026	222	8013
27	225	7811
28	231	7753
29	234	7569
31	265	8026
32	267	7848
33	270	7679
34	272	7521
35	275	7377
36	278	7236
37	280	7103
38	283	6976
39	285	6853
40	288	6739
41	290	641	311	7114
42	314	6996
43	326	7092
44	345	388	845	346	391	746	447	395	747	448	403	7839
49	407	749	450	411	7662
51	514	9381
52	519	9290
53	523	9171
54	526	9039
55	540	9104
56	542	8977
57	545	8853
58	557	8885
59	560	8777
60	580	8930
61	584	8846
62	589	8771
63	613	8972
64	616	8870
65	620	8785
66	627	8731
67	639	8761
68	643	8683
69	646	8586
70	680	8908
71	683	8808
72	687	8729
73	730	9135
74	733	9044
75	737	8969
76	746	8952
77	751	8879
78	766	8930
79	778	8952
80	783	8888
81	789	8835
82	794	8774
83	828	9031
84	850	9154
85	854	9076
86	857	9001
87	867	8993
88	896	9177
89	911	9215
90	915	9149
91	940	9282
92	1011	9865
93	1015	9789
94	1020	9721
95	1024	9646
96	1030	9593
97	1034	9525
98	1038	9451
99	1046	9421
100	1051	9355
101	1066	9393
102	1069	9317
103	1073	9246
104	1075	9168
105	1079	9108
106	1082	9036
107	1085	8965
108	1101	9004
109	1104	8933
110	1106	8865
111	1111	8811
112	1139	8940
113	1142	8880
114	1145	8818
115	1150	8767
116	1188	8967
117	1190	8901
118	1225	9074
119	1230	9023
120	1258	9141
121	1262	9083
122	1267	9040
123	1281	9055
124	1286	9002
125	1290	8948
126	1301	8948
127	1305	8893
128	1331	8991
129	1338	8955
130	1341	8900
131	1345	8847
132	1362	8880
133	1370	8854
134	1384	8874
135	1388	8821
136	1394	8786
137	1398	8735
138	1411	8743
139	1426	8763
140	1430	8712
141	1452	8778
142	1456	8731
143	1461	8688
144	1466	8646
145	1473	8621
146	1507	8748
147	1552	8938
148	1565	8938
149	1568	8887
150	1572	8838
151	1629	9090
152	1634	9047
153	1639	9008
154	1643	8959
155	1647	8912
156	1652	8873
157	1657	8830
158	1662	8791
159	1666	8750
160	1751	9127
161	1754	9074
162	1758	9027
163	1761	8978
164	1786	9042
165	1798	9036
166	1802	8990
167	1808	8958
168	1816	8933
169	1819	8882
170	1823	8840
171	1835	8836
172	1839	8792
173	1842	8747
174	1877	8851
175	1899	8894
176	1945	9048
177	1966	9083
178	2002	9184
179	2005	9137
180	2009	9093
181	2014	9054
182	2021	9024
183	2024	8976
184	2026	8928
185	2029	8880
186	2090	9090
187	2098	9061
188	2102	9020
189	2114	9012
190	2118	8972
191	2130	8967
192	2134	8924
193	2143	8904
194	2146	8860
195	2154	8838
196	2157	8793
197	2159	8748
198	2163	8707
199	2167	8669
200	2183	8678
201	2189	8651
202	2219	8715
203	2222	8671
204	2228	8642
205	2232	8603
206	2236	8569
207	2251	8573
208	2287	8657
209	2292	8623
210	2294	8581
211	2300	8549
212	2305	8519
213	2314	8502
214	2318	8466
215	2322	8430
216	2325	8391
217	2329	8356
218	2348	8374
219	2351	8336
220	2354	8300
221	2378	8335
222	2384	8308
223	2391	8286
224	2401	8271
225	2405	8236
226	2410	8207
227	2412	8170
228	2415	8132
229	2418	8097
230	2422	8065
231	2428	8038
232	2431	8005
233	2435	7973
234	2445	7962
235	2450	7932
236	2455	7904
237	2459	7873
238	2463	7843
239	2467	7814
240	2470	7781
241	2475	7754
242	2480	7727
243	2484	7698
244	2488	7669
245	2492	7638
246	2495	7607
247	2502	7588
248	2511	7574
249	2515	7545
250	2518	7514
251	2522	7487
252	2527	7461
253	2531	7435
254	2535	7406
255	2538	7378
256	2545	7359
257	2548	7330
258	2552	7302
259	2556	7275
260	2560	7251
261	2566	7229
262	2569	7199
263	2571	7169
264	2574	7141
265	2579	7117
266	2583	7093
267	2586	7064
268	2590	7040
269	2597	7021
270	2603	7002
271	2606	6976
272	2614	6963
273	2618	6937
274	2623	6915
275	2627	6891
276	2629	6863
277	2633	6839
278	2637	6816
279	2642	6794
280	2645	6768
281	2650	6747
282	2653	6723
283	2657	6699
284	2661	6677
285	2665	6655
286	2670	6634
287	2676	6617
288	2679	6592
289	2681	6565
290	2685	6542
291	2689	6520
292	2692	6497
293	2697	6478
294	2703	6460
295	2708	6442
296	2711	6418
297	2713	6393
298	2723	6384
299	2729	6367
300	2734	6349
301	2759	6378
302	2776	6385
303	2789	6386
304	2833	6456
305	2844	6451
306	2857	6449
307	2863	6433
308	2885	6453
309	2901	6458
310	2910	6447
311	2917	6432
312	2925	6421
313	2933	6409
314	2939	6393
315	2949	6385
316	2956	6368
317	2964	6358
318	2990	6384
319	2994	6362
320	2999	6344
321	3004	6326
322	3007	6303
323	3010	6281
324	3015	6263
325	3019	6243
326	3024	6224
327	3028	6205
328	3032	6185
329	3037	6167
330	3044	6152
331	3047	6131
332	3051	6112
333	3055	6092
334	3058	6071
335	3062	6051
336	3065	6031
337	3071	6015
338	3075	5996
339	3081	5980
340	3086	5965
341	3091	5948
342	3095	5928
343	3099	5910
344	3103	5892
345	3108	5874
346	3115	5863
347	3119	5844
348	3126	5832
349	3131	5814
350	3135	5798
351	3140	5781
352	3143	5760
353	3146	5742
354	3149	5722
355	3153	5703
356	3157	5686
357	3161	5669
358	3165	5651
359	3171	5637
360	3174	5619
361	3179	5603
362	3183	5585
363	3187	5568
364	3193	5556
365	3196	5537
366	3201	5522
367	3205	5505
368	3208	5487
369	3218	5479
370	3221	5461
371	3229	5451
372	3231	5432
373	3237	5418
374	3241	5402
375	3258	5408
376	3267	5398
377	3273	5385
378	3280	5375
379	3287	5363
380	3295	5354
381	3300	5338
382	3312	5337
383	3316	5320
384	3318	5301
385	3321	5283
386	3365	5330
387	3368	5313
388	3374	5300
389	3379	5285
390	3385	5272
391	3389	5256
392	3395	5243
393	3397	5225
394	3399	5207
395	3403	5191
396	3408	5176
397	3412	5161
398	3415	5144
399	3420	5130
400	3426	5117
401	3430	5102
402	3434	5087
403	3438	5072
404	3442	5058
405	3445	5041
406	3448	5024
407	3451	5007
408	3455	4992
409	3459	4977
410	3463	4963
411	3468	4950
412	3471	4934
413	3476	4920
414	3479	4905
415	3484	4891
416	3491	4881
417	3495	4866
418	3500	4853
419	3504	4840
420	3510	4828
421	3519	4820
422	3523	4806
423	3528	4793
424	3537	4786
425	3544	4776
426	3554	4769
427	3560	4757
428	3564	4744
429	3568	4730
430	3594	4745
431	3597	4729
432	3600	4714
433	3609	4707
434	3615	4696
435	3619	4681
436	3626	4672
437	3630	4658
438	3636	4647
439	3639	4632
440	3644	4619
441	3648	4606
442	3651	4590
443	3653	4575
444	3656	4560
445	3660	4546
446	3663	4532
447	3669	4521
448	3672	4506
449	3683	4501
450	3686	4487
451	3690	4474
452	3697	4465
453	3702	4452
454	3704	4437
455	3708	4424
456	3713	4411
457	3715	4397
458	3718	4382
459	3720	4367
460	3728	4359
461	3740	4356
462	3748	4347
463	3753	4336
464	3779	4348
465	3784	4336
466	3790	4325
467	3795	4314
468	3814	4318
469	3823	4311
470	3829	4301
471	3841	4296
472	3845	4284
473	3850	4272
474	3855	4261
475	3882	4274
476	3893	4268
477	3929	4291
478	3941	4287
479	3978	4310
480	3993	4309
481	3996	4295
482	3999	4280
483	4009	4274
484	4013	4261
485	4018	4250
486	4036	4251
487	4042	4240
488	4048	4231
489	4053	4219
490	4058	4207
491	4062	4194
492	4064	4179
493	4067	4165
494	4071	4154
495	4077	4143
496	4080	4129
497	4083	4115
498	4085	4102
499	4089	4089
500	4100	4084
501	4103	4070
502	4127	4078
503	4161	4095
504	4177	4095
505	4182	4083
506	4184	4069
507	4187	4055
508	4189	4041
509	4192	4027
510	4194	4014
511	4197	4000
512	4199	3987
513	4207	3978
514	4478	4217
515	4491	4212
516	4494	4198
517	4497	4185
518	4503	4173
519	4512	4165
520	4515	4151
521	4557	4173
522	4560	4158
523	4562	4144
524	4565	4130
525	4567	4116
526	4604	4132
527	4607	4118
528	4611	4106
529	4615	4092
530	4618	4079
531	4623	4067
532	4629	4056
533	4636	4046
534	4644	4036
535	4652	4027
536	4661	4019
537	4671	4011
538	4678	4001
539	4685	3991
540	4694	3983
541	4706	3976
542	4712	3966
543	4852	4067
544	4856	4054
545	4859	4040
546	4862	4026
547	4864	4012
548	4868	3999
549	4872	3986
550	4878	3975
551	4881	3961
552	4884	3948
553	4889	3936
554	4892	3922
555	4895	3909
556	4898	3895
557	4902	3883
558	4904	3869
559	4910	3858
560	4913	3845
561	4917	3832
562	4919	3818
563	4924	3807
564	4928	3794
565	4932	3782
566	4936	3769
567	4940	3757
568	4948	3748
569	4952	3736
570	4957	3724
571	4961	3712
572	4965	3700
573	4969	3688
574	4973	3676
575	4976	3663
576	4979	3650
577	4982	3637
578	4985	3624
579	4987	3611
580	4990	3599
581	5000	3591
582	5008	3582
583	5010	3569
584	5013	3556
585	5016	3543
586	5019	3531
587	5024	3520
588	5029	3509
589	5032	3497
590	5036	3485
591	5041	3474
592	5043	3461
593	5048	3450
594	5050	3437
595	5054	3426
596	5058	3414
597	5062	3403
598	5067	3392
599	5072	3381
600	5078	3371
601	5081	3359
602	5084	3347
603	5087	3335
604	5091	3324
605	5094	3312
606	5110	3309
607	5126	3305
608	5143	3302
609	5158	3297
610	5169	3291
611	5182	3285
612	5201	3284
613	5205	3272
614	5209	3261
615	5225	3257
616	5228	3245
617	5232	3234
618	5235	3222
619	5239	3211
620	5243	3200
621	5247	3188
622	5249	3176
623	5254	3165
624	5258	3155
625	5263	3144
626	5266	3133
627	5270	3121
628	5274	3110
629	5277	3099
630	5281	3088
631	5287	3078
632	5291	3067
633	5295	3056
634	5298	3045
635	5302	3034
636	5307	3024
637	5313	3014
638	5317	3004
639	5321	2993
640	5326	2983
641	5329	2971
642	5335	2962
643	5339	2951
644	5343	2941
645	5349	2931
646	5353	2920
647	5355	2909
648	5358	2897
649	5361	2887
650	5366	2877
651	5370	2866
652	5375	2856
653	5379	2846
654	5383	2835
655	5385	2824
656	5390	2814
657	5393	2803
658	5399	2793
659	5401	2782
660	5404	2771
66662	5326	27066663	5334	2699
664	5337	2689
665	5345	2680
666	5350	2671
667	5352	26666668	5356	26566669	5361	26466670	5365	26367671	5369	262671	5456	2663
672	5459	2652
67674	5377	258674	5469	2633
675	5477	2625
67677	5403	267677	5499	26167678	5514	2607
67680	5438	25468681	5455	254681	5548	2587
682	5554	25768683	5562	25668684	5580	25668685	5596	2561
686	5601	2551
687	5605	2542
688	5612	2533
689	5617	2523
690	5622	2514
691	5627	2504
692	5631	2494
693	5640	2487
694	5644	2477
695	5648	2467
696	5652	2457
697	5657	2447
698	5661	2437
699	5665	2427
700	5668	2417
701	5671	2407
702	5675	2397
703	5678	2387
704	5682	2377
705	5688	2368
706	5692	2359
707	5699	2350
708	5701	2340
709	5707	2331
710	5711	2321
711	5719	2313
712	5723	2303
713	5728	2294
714	5733	2285
715	5737	2275
716	5742	2266
717	5748	2257
718	5753	2248
719	5760	2240
720	5764	2230
721	5769	2221
722	5772	2211
723	5776	2202
724	5784	2194
725	5788	2184
726	5792	2175
727	5798	2166
728	5804	2157
729	5809	2148
730	5815	2139
731	5821	2131
732	5826	2122
733	5828	2112
734	5832	2102
735	5835	2093
736	5838	2083
737	5842	2074
738	5846	2064
739	5850	2055
740	5854	2046
741	5858	2037
742	5863	2028
743	5869	2019
744	5873	2010
745	5879	2001
746	5882	1992
747	5886	1983
748	5890	1973
749	5895	1965
750	5898	1955
751	5905	1947
752	5908	1938
753	5911	1928
754	5915	1919
755	5922	1911
756	5927	1902
757	5932	1894
758	5936	1884
759	5944	1877
760	5948	1868
761	5953	1859
762	5956	1850
763	5963	1842
764	5971	1834
765	5976	1825
766	5979	1816
767	5986	1808
768	5990	1799
769	5996	1791
770	6001	1782
771	6005	1773
772	6022	1768
773	6026	1759
774	6039	1753
775	6043	1744
776	6047	1735
777	6055	1727
778	6063	1720
779	6068	1711
780	6074	1703
781	6081	1695
782	6087	1687
783	6092	1678
784	6096	1669
785	6111	1663
786	6117	1655
787	6126	1648
788	6131	1639
789	6151	1635
790	6162	1628
791	6169	1620
792	6173	1611
793	6183	1604
794	6189	1596
795	6197	1588
796	6206	1580
797	6213	1572
798	6219	1564
799	6223	1555
800	6228	1547
801	6233	1538
802	6237	1530
803	6242	1521
804	6245	1512
805	6249	1504
806	6253	1495
807	6257	1486
808	6262	1478
809	6270	1470
810	6274	1462
811	6280	1454
812	6283	1445
813	6287	1436
814	6291	1428
815	6294	1419
816	6298	1410
817	6302	1402
818	6306	1393
819	6310	1385
820	6315	1376
821	6319	1368
822	6324	1360
823	6331	1352
824	6335	1343
825	6339	1335
826	6350	1328
827	6354	1320
828	6358	1311
829	6362	1303
830	6365	1294
831	6369	1286
832	6373	1277
833	6377	1269
834	6380	1260
835	6383	1252
836	6386	1243
837	6391	1235
838	6395	1227
839	6398	1218
840	6403	1210
841	6408	1202
842	6411	1194
843	6414	1185
844	6417	1177
845	6421	1168
846	6425	1160
847	6431	1152
848	6438	1145
849	6443	1137
850	6447	1128
851	6455	1121
852	6458	1112
853	6462	1104
854	6467	1096
855	6470	1088
856	6475	1080
857	6480	1072
858	6484	1064
859	6489	1056
860	6492	1048
861	6497	1040
862	6502	1032
863	6506	1024
864	6510	1016
865	6515	1008
866	6519	1000
867	6522	991
868	6527	984
869	6532	976
870	6535	967
871	6539	959
872	6543	951
873	6548	944
874	6552	936
875	6556	928
876	6560	920
877	6564	912
878	6567	904
879	6570	896
880	6574	8888881	6583	880
882	6588	872
883	6591	864
884	6595	857
885	6639	854
886	6644	846
887	6658	839
888	6663	832
889	6689	826
890	6703	820
891	6711	812
892	6715	804
893	6718	796
894	6721	788
895	6727	780
896	6732	773
897	6742	765
898	6745	757
899	6752	750
900	6758	742
901	6761	734
902	6765	726
903	6771	719
904	6777	711
905	6784	703
906	6787	695
907	6793	688
908	6796	680
909	6801	672
910	6804	664
911	6806	656
912	6809	648
913	6812	641
914	6815	633
915	6819	625
916	6829	618
917	6833	610
918	6840	602
919	6844	595
920	6848	587
921	6851	579
922	6855	571
923	6860	564
924	6862	556
925	6866	548
926	6868	540
927	6872	533
928	6876	525
929	6880	517
930	6887	510
931	6891	502
932	6894	495
933	6899	487
934	6905	480
935	6908	472
936	6910	4649937	6914	4579938	6918	4499939	6928	442
940	6936	434
941	6942	427
942	6946	419
943	6950	412
944	6956	404
945	6962	397
946	6966	389
947	6972	382
948	6976	374
949	6980	367
950	6984	359
951	6989	352
952	6994	344
953	6997	337
954	7001	329
955	7003	322
956	7008	314
957	7011	307
958	7015	299
959	7019	292
960	7023	285
961	7028	277
962	7031	270
963	7036	262
964	7041	255
965	7046	248
966	7050	240
967	7059	233
968	7063	225
969	7065	218
970	7071	211
971	7075	203
972	7080	196
973	7082	189
974	7107	182
975	7111	174
976	7114	1679977	7140	160
978	7159	153
979	7166	146
980	7174	138
981	7180	131
982	7215	124
983	7219	117
984	7223	110
985	7229	102
986	7234	95
987	7240	87
988	7243	80
989	7247	73
990	7251	65
991	7255	58
992	7258	51
993	7262	43
994	7266	36
995	7269	29
996	7272	21
997	7275	14
998	7280	7
999	7284	0
